프로젝트명,대항목,순서,작업내용,상태,비고,첨부,업데이트일
SLH1 #6호기,직진도 측정,4,"ULD Transfer X,Z축 직진도(±0.3mm) SETTING 및 측정
 ->dial gauge Indicator  0.01mm(바늘) 
 -> 모든 무두 볼트 풀어놓은 후 측정 후 무드 볼트 조정
 -> Z 축 ±Limit Sensor 이동, Hard Stopper 위치변경",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-19)
SLH1 #6호기,직진도 측정,5,"Set-Plate 직진도( ±0.2) Setting 및 측정
 ->dial gauge Indicator  0.01mm(바늘) 
 -> Hand Robot에 가네텍 마그네틱 베이스 
 -> Set-Plate Guage Block 안착 후 X축 이동",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-13)
SLH1 #6호기,평탄도 측정,1,"LD Stacker 1,2 Base 평탄도(±0.2mm) Setting 및 측정
- Base Up 상태 측정.
- 디지털 전자 수평계 사용 X,Y축 ±0.2mm 이내",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-06)
SLH1 #6호기,평탄도 측정,2,"ULD Stacker 1,2 Base 평탄도(±0.2mm) Setting 및 측정
- Base Up 상태 측정.
- 디지털 전자 수평계 사용 X,Y축 ±0.2mm 이내",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-06)
SLH1 #6호기,평탄도 측정,3,"Empty , Reject Stacker Base 평탄도(±0.2mm) Setting 및 측정
- Base Up 상태 측정.
- 디지털 전자 수평계 사용 X,Y축 ±0.2mm 이내",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-19)
SLH1 #6호기,평탄도 측정,4,"InPut-> Testsite -> Out T-Tray 평탄도 Setting 및 측정
- 디지털 전자 수평계 사용 X,Y축 ±0.2mm 이내",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-19)
SLH1 #6호기,Software,1,OS 설치,✅ 완료,,,최염광 (26-03-05)
SLH1 #6호기,Software,2,"Motor Parameter Setting 및 다회전 클리어
- S/W 팀 요청
- 다회전 클리어 방법: Panaterm Ver.6.0 다운 후 해당 Parameter Servo Drive에 케이블 연결 -> 앰프 접속 -> 확인 -> 모니터 -> 다회전 클리어 클릭 -> 완료",✅ 완료,,,최염광 (26-03-10)
SLH1 #6호기,Software,3,"BCR, Vision Setting",✅ 완료,,,최염광 (26-03-31)
SLH1 #6호기,Software,4,LD/ULD Hand 반진동 Test,✅ 완료,,,최염광 (26-04-07)
SLH1 #6호기,조립정밀도,1,LD/ULD Hand Pitch 측정(Pitch JIG 삽입),✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-13)
SLH1 #6호기,조립정밀도,2,"LD/ULD Hand Z-axis 측정
 - Cylinder Down 상태(±0.15mm)
- Dial Gauge Indicator 0.01mm(바늘)",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-13)
SLH1 #6호기,조립정밀도,3,"Set-Plate Down Hard Stopper 높이 SETTING (24mm) 및 측정
ex) L/D 1,2 : 21mm UL/D 1,2 24mm pass",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-20)
SLH1 #6호기,조립정밀도,4,Transfer JIG -> Set-Plate -> Stacker JIG Setting,✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-19)
SLH1 #6호기,Test Site 평탄도,1,"Front, Rear Press 평탄도(±0.25mm) Setting 및 측정
- 디지털 거리 측정기, 측정 지그 사용
- 무두 볼트 풀어놓은 후 측정 -> + 수치가 제일 큰 부분에 리셋 -> 무두 볼트 사용하여 평탄도 Setting",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-19)
SLH1 #6호기,Test Site 평탄도,2,"Front, Rear Press Load Cell (0.2bar, 0.29bar) Setting 및 측정
- Load Cell, 측정 지그
- 언 컨텍 값(기구 이동 가능), 컨택값(해당 수치 도달 지점)
- Load Cell 로드를 Match Plate X,Y 중간에서 컨택 해야함",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-19)
SLH1 #6호기,Test Site 평탄도,3,"Front, Rear T-Tray Rail 평탄도(±0.2mm) Setting 및 측정
- 디지털 전자 수평계 사용
- 측정 위치 : T-Tray 왼쪽 중간 오른쪽",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-19)
SLH1 #6호기,반복정밀도,1,"LD/ULD Hand X,Y축 반복도(±0.05mm) 측정 (10회)
- Dial Gauge Indicator 0.01mm(바늘)",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-20)
SLH1 #6호기,반복정밀도,2,"LD/ULD Hand Transfer X,Z축 반복도(±0.05mm) 측정 (10회)
 -> Digital Indicator (0.001mm) 사용",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-20)
SLH1 #6호기,반복정밀도,3,"Bottom Feeder X축 반복도(±0.05mm) 측정 (10회)
- Dial Gauge Indicator 0.01mm(바늘)",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-20)
SLH1 #6호기,환경안전,1,"Ionizer Loader A-01, Unloader A-02 설정",✅ 완료,,,최염광 (26-03-10)
SLH1 #6호기,환경안전,2,접지 연결 및 확인,✅ 완료,,,최염광 (26-03-10)
SLH1 #6호기,환경안전,3,LD/ULD Conveyor Inverter 장착 Pannel 모서리 안전띠 부착,✅ 완료,,,최염광 (26-03-10)
SLH1 #6호기,환경안전,4,Motor Belt Tension 조정 및 측정,✅ 완료,,,최염광 (26-03-10)
SLH1 #6호기,환경안전,5,"Door Safety Check, EMS 완료.",✅ 완료,,,최염광 (26-03-10)
SLH1 #6호기,환경안전,6,"후면부 덕트 -> 측면(Door) -> 후면(Door) -> 상부 Cover 장착 -> 부속 Cover 장착, Door Key, Door Sensor 장착 및 OS 확인",✅ 완료,,,최염광 (26-03-14)
SLH1 #6호기,환경안전,7,환경 검수 List 확인 및 품질팀 Support,✅ 완료,,,최염광 (26-03-11)
SLH1 #6호기,Runnning,1,"Transfer, Hand, Middle Feeder, Input, Output Motor Teaching",✅ 완료,,,최염광 (26-03-25)
SLH1 #6호기,Runnning,2,Initial 및 Long Run 진행 (T-Tray 미사용),✅ 완료,,,최염광 (26-03-22)
SLH1 #6호기,Runnning,3,Dry Run 진행 (T-Tray 사용),✅ 완료,,,최염광 (26-03-25)
SLH1 #6호기,Runnning,4,Normal Run 진행(자재 투입),✅ 완료,,,최염광 (26-03-25)
SLH1 #6호기,Runnning,5,Running Data 취득(3000M),✅ 완료,,,최염광 (26-03-30)
SLH1 #6호기,Set-Up,1,전/후면부 Docking 분리,✅ 완료,,,김범규 (26-04-03)
SLH1 #6호기,Set-Up,2,포장 및 필요 Part Check 포장,✅ 완료,,,김범규 (26-04-03)
SLH1 #6호기,Set-Up,3,"Lay-Out 이동 및 임시 Leveling 
 - Handler 전/후면부 위치 맞춘 후 임시 Level 시 Foot 하단 받침  필수
 - 우익 요청 수급 후에 모든 Foot 하단에 적용",✅ 완료,,,김범규 (26-04-03)
SLH1 #6호기,Set-Up,4,"전/후면부 Docking 및 Auto Leveling
 - 전면부 Conveyor Belt to Bottom Hight Spec 400mm 이상 Check 필수
 - 전면부 Auto-Leveling 후 후면부 Level Docking Pin 높이, 좌우 맞춘 후 Docking
 - 후면부 최종 Leveling 후 연결 Pin 고정",✅ 완료,,,최염광 (26-04-07)
SLH1 #6호기,Set-Up,5,"Tester Docking
 - Handler TestSite -> Tester MB 상단 삽입 JIG 사용 Setting 및 확인",✅ 완료,,,최염광 (26-04-13)
SLH1 #6호기,Set-Up,6,"Uitility Connect
 -  Power Cable Set-Up Report 기준에 따라 굴곡 형성 배선 요청 및 확인
 - Hand 별 Regulator 장착 후 0.55 Mpa 이하 Setting",✅ 완료,,,최염광 (26-04-19)
SLH1 #6호기,Set-Up,7,Turn-ON,✅ 완료,,,최염광 (26-04-19)
SLH1 #6호기,Set-Up,8,I/O Check,✅ 완료,,,최염광 (26-04-19)
SLH1 #6호기,Set-Up,9,Teaching,✅ 완료,,,최염광 (26-04-19)
SLH1 #6호기,Set-Up,10, Dry Run -> Dummy Run,⏳ 작업중,,,최염광 (26-04-19)
SLH1 #6호기,Set-Up,11,양산 Qual,⬜ 대기,,,
SLH1 #6호기,Set-Up,12,시 양산 및 안정화,⬜ 대기,,,
SLH1 #5호기,Ray-Out 이후,1,"전면부/후면부1차 Levelling
 -> Auto Leveler 사용
 -> Stacker Base 상단 -> 바닥면 400mm",✅ 완료,,,최염광 (26-03-06)
SLH1 #5호기,Ray-Out 이후,2,전/후면부 Docking 및 Leveling Detail 조정,✅ 완료,,,최염광 (26-03-06)
SLH1 #5호기,Ray-Out 이후,3,Main 공압 포설,✅ 완료,,,최염광 (26-03-06)
SLH1 #5호기,Ray-Out 이후,4,"Regulator Setting
 - 전면부 Main 0.65Mpa, 후면부 Main 0.5Mpa
 - Main Digital Pressure Switch 설정법
     ->  s버튼 5초이상 꾹 누른다.
     ->  F0번에서 s버튼을 눌러 RAnG값 1,  Unit Mpa로 변경
     ->  s버튼을 꾹 눌러 main화면으로 돌아온다.
     -> main화면에서 P_1 P_2값을 0.3으로 하고 H_1 H_2값을 0으로 한다.
 - Set-Plate Up Absorber : 0.3Mpa
 - Reject Stacker : 0.4Mpa
 - LD/ULD Hand : 0.6Mpa
 - TestSite 정공 Regulator OS상 입력
  -> T/S Front : 0.2    T/S Rear : 0.2  Press : 0.2 
  ->  Rail, Lock Pin : 0.4Mpa
 - Main Digital Pressure Switch Setting 
  ->",✅ 완료,,,최염광 (26-03-06)
